"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102
001","77","3.851","85.7","5.2","6.5","1.3",".","1.3",".",".",".","",".",".","",".","",".",".",".","."
"Intro-Mus Cult of the World","103
001","53","3.510","60.4","11.3","17.0","1.9","1.9","3.8","1.9","1.9",".","",".",".","",".","",".",".",".","."
"The African Storyteller","210
001","29","3.786","72.4","13.8","3.4","6.9",".",".",".","3.4",".","",".",".","",".","",".",".",".","."
"Shamanism","352
001","47","3.750","85.1",".",".",".","2.1","6.4",".","6.4",".","",".",".","",".","",".",".",".","."
"Musical Cultures-World","402
001","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Gender & Expressive Culture","428
001","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Sami Culture,Yesterday & Today","443
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Ethnic Representatn in Wisc","520
001","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics in Folklore","530
001","12","3.950","75.0","8.3",".",".",".",".",".","16.7",".","",".",".","",".","",".",".",".","."
"","699
001","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
017","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independ Stdy-Folklore Grad","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"FOLKLORE
380","Dept. Total","241","3.746","75.1","7.5","6.6","1.7","0.8","2.5","0.8","3.7","",".",".","",".","",".","1.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.538","58.8","5.9","29.4",".",".","5.9",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","75","3.805","80.0","10.7","5.3",".","1.3","2.7",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","51","3.807","86.3","2.0","5.9","3.9",".","2.0",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","77","3.697","75.3","7.8","5.2","2.6","1.3","2.6","1.3","2.6","",".",".","",".","",".","1.3",".",".","."
"Undergraduates","","220","3.749","78.2","7.3","7.3","1.8","0.9","2.7","0.5","0.9","",".",".","",".","",".","0.5",".",".","."
"Special","","7","0.000",".",".",".",".",".",".","14.3","85.7","",".",".","",".","",".",".",".",".","."
"Graduate","","14","3.924","64.3","14.3",".",".",".",".",".","7.1","",".",".","",".","",".","14.3",".",".","."
"","Dept. Total","241","3.746","75.1","7.5","6.6","1.7","0.8","2.5","0.8","3.7","",".",".","",".","",".","1.2",".",".","."
