"L&S","","","","","","","","","","","","","","","","","","","","",""
"ASTRONOMY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","","",""
"ASTRON
188","Dept. Total","478","3.060","28.2","15.9","21.1","8.4","9.8","2.9","2.7","5.6","",".",".","",".","1.9","0.2","0.2","2.7","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","2.305","7.7","10.3","35.9","10.3","12.8","5.1","17.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","127","3.067","24.4","21.3","30.7","7.9","11.0","3.1","1.6",".","",".",".","",".",".",".",".",".","."
"Junior","","91","2.979","26.4","22.0","16.5","15.4","14.3","3.3","2.2",".","",".",".","",".",".",".",".",".","."
"Senior","","137","3.214","38.0","14.6","21.2","8.0","10.9","3.6","1.5","0.7","",".",".","",".",".","0.7",".",".","0.7"
"Undergraduates","","394","3.022","27.9","18.0","24.6","9.9","11.9","3.6","3.3","0.3","",".",".","",".",".","0.3",".",".","0.3"
"Special","","30","3.559","10.0","3.3","3.3","3.3",".",".",".","33.3","",".",".","",".",".",".","3.3","43.3","."
"Graduate","","55","3.767","41.8","7.3","5.5",".",".",".",".","29.1","",".",".","",".","16.4",".",".",".","."
"","Dept. Total","479","3.060","28.4","15.9","21.1","8.4","9.8","2.9","2.7","5.6","",".",".","",".","1.9","0.2","0.2","2.7","0.2"
