"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","182","3.384","31.9","34.1","20.3","7.1","4.9","1.1",".",".",".",".",".",".",".",".",".","0.5"
"","306
002","24","3.646","54.2","29.2","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","206","3.415","34.5","33.5","19.4","6.3","4.9","1.0",".",".",".",".",".",".",".",".",".","0.5"
"","001
312","43","3.333","30.2","23.3","30.2","9.3","4.7",".",".","2.3",".",".",".",".",".",".",".","."
"","312
002","20","3.375","25.0","45.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","63","3.347","28.6","30.2","27.0","6.3","6.3",".",".","1.6",".",".",".",".",".",".",".","."
"","365
002","43","3.547","37.2","44.2","14.0",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"","365
003","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","48","3.333","39.6","22.9","14.6","18.8","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","101","3.450","39.6","31.7","15.8","8.9","3.0",".","1.0",".",".",".",".",".",".",".",".","."
"","410
001","18","3.167","22.2","27.8","16.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".","."
"","410
002","30","3.121","40.0","10.0","10.0","13.3","20.0","3.3",".","3.3",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","48","3.138","33.3","16.7","12.5","18.8","14.6","2.1",".","2.1",".",".",".",".",".",".",".","."
"","001
415","30","3.333","26.7","33.3","23.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","415
002","25","3.380","32.0","36.0","20.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","55","3.355","29.1","34.5","21.8","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"","420
001","28","3.143","32.1","17.9","17.9","17.9","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"","420
002","27","3.556","40.7","37.0","18.5",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","420
003","6","2.583",".","33.3",".","16.7","50.0",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","61","3.270","32.8","27.9","16.4","9.8","11.5","1.6",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","611
001","29","3.638","58.6","17.2","20.7",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","611
002","23","3.565","52.2","17.4","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","Course Total","52","3.606","55.8","17.3","21.2","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","30","3.433","30.0","40.0","16.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
007","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
010","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","47","3.887","78.7","21.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
