"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","33","3.758","84.8","6.1","3.0",".","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"210
Youth, Education, and Society","001","","107","3.911","86.9","8.4","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"220
Human Rights and Education","001","","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"300","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","35","3.829","71.4","22.9","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","33","3.750","57.6","30.3","9.1",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"300","004","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","123","3.877","78.9","16.3","4.1",".",".",".",".","0.8",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","103","3.447","40.8","32.0","14.6","4.9","5.8","1.9",".",".",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"600","001","","15","3.433","53.3","20.0","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"600","002","","15","3.885","80.0",".",".","6.7",".",".",".",".",".",".",".",".","6.7",".","6.7","."
"Problems in Educ Pol","Course Total","","30","3.643","66.7","10.0","6.7","3.3","3.3","3.3",".",".",".",".",".",".","3.3",".","3.3","."
"665
Hist of Fed Role in Amer Educ","001","","12","3.682","58.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"712
Educ and Civil Rights Movement","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"780","001","","8","4.000","12.5",".",".",".",".",".",".",".",".",".",".",".","87.5",".",".","."
"780","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Educ Policy","Course Total","","13","3.917","38.5","7.7",".",".",".",".",".",".",".",".",".",".","53.8",".",".","."
"805
Gender Issues-Intl Educ Policy","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"906
Prosem-History of Education","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","8","",".",".",".",".",".",".",".","75.0",".",".",".",".","25.0",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","42","",".",".",".",".",".",".",".","76.2",".",".",".","19.0","4.8",".",".","."
