"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"M S & E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","37","3.351","29.7","32.4","21.6","16.2",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","156","3.405","34.0","37.8","17.9","5.8","1.9","1.9","0.6",".","",".",".","",".",".",".",".",".","."
"Senior","","396","3.493","41.9","29.8","20.2","3.5","2.5","0.5","0.5","0.3","",".",".","",".",".","0.8",".",".","."
"Undergraduates","","592","3.462","39.0","32.3","19.6","4.9","2.2","0.8","0.5","0.2","",".",".","",".",".","0.5",".",".","."
"Special","","9","3.667","44.4","44.4","11.1",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","214","3.744","34.1","12.1","6.5",".",".",".",".","32.7","",".","5.1","",".","6.1","2.8",".","0.5","."
"","Dept. Total","815","3.509","37.8","27.1","16.1","3.6","1.6","0.6","0.4","8.7","",".","1.3","",".","1.6","1.1",".","0.1","."
