"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"MARKETNG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","193","3.223","18.1","33.7","30.6","13.0","3.1","1.6",".",".","",".",".","",".",".",".",".",".","."
"Junior","","384","3.395","32.8","35.7","18.5","8.6","2.3","1.0","0.8","0.3","",".",".","",".",".",".",".",".","."
"Senior","","715","3.545","45.6","27.6","19.2","4.6","1.5","0.4","0.1","0.7","",".",".","",".",".","0.3",".",".","."
"Undergraduates","","1294","3.451","37.6","30.9","20.6","7.0","2.1","0.8","0.3","0.5","",".",".","",".",".","0.2",".",".","."
"Special","","42","3.332","28.6","16.7","40.5","9.5",".",".",".","2.4","",".",".","",".",".",".",".",".","2.4"
"Graduate","","417","3.774","67.4","22.5","6.5","0.2","0.7",".",".","1.4","",".",".","",".","0.7","0.2",".","0.2","."
"","Dept. Total","1753","3.511","44.5","28.6","17.7","5.5","1.7","0.6","0.2","0.7","",".",".","",".","0.2","0.2",".","0.1","0.1"
