"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","207","3.413","29.0","40.1","18.8","8.2","2.9","0.5",".","0.5",".",".",".",".",".",".",".","."
"","300
002","172","3.233","18.6","42.4","19.8","13.4","2.9","1.7","1.2",".",".",".",".",".",".",".",".","."
"","300
003","105","3.231","15.2","41.0","24.8","16.2",".","1.0","1.0",".",".",".",".",".",".",".",".","1.0"
"Marketing Management","Course Total","484","3.309","22.3","41.1","20.5","11.8","2.3","1.0","0.6","0.2",".",".",".",".",".",".",".","0.2"
"","001
305","47","3.394","38.3","14.9","36.2","8.5","2.1",".",".",".",".",".",".",".",".",".",".","."
"","002
305","39","3.282","25.6","25.6","35.9","5.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","305
003","18","3.194","22.2","22.2","44.4","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","305
004","37","3.378","24.3","37.8","27.0","10.8",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","141","3.333","29.1","24.8","34.8","7.8","2.8","0.7",".",".",".",".",".",".",".",".",".","."
"","310
001","30","3.417","30.0","26.7","40.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","42","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
310","22","3.409","31.8","22.7","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","94","3.436","29.8","29.8","38.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","50","3.910","86.0","10.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
355","48","3.833","72.9","20.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
003","49","3.833","77.6","14.3","2.0","2.0","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","147","3.860","78.9","15.0","4.1","0.7","0.7",".",".","0.7",".",".",".",".",".",".",".","."
"","365
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","28","3.889","78.6","14.3","3.6",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","003
365","36","2.986","16.7","13.9","47.2","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","80","3.464","55.0","11.3","22.5","2.5","5.0","2.5",".","1.3",".",".",".",".",".",".",".","."
"","399
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
160","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
207","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","30","3.633","60.0","26.7","10.0",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","415
002","25","3.565","44.0","36.0","4.0","4.0",".","4.0",".","8.0",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","55","3.604","52.7","30.9","7.3","1.8",".","1.8","1.8","3.6",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","27","3.426","18.5","55.6","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","20","3.225","30.0","20.0","25.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
002","40","3.833","77.5","12.5","5.0",".","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427
001","49","3.449","28.6","40.8","24.5","4.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"","430
001","30","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","430
002","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","Course Total","57","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
460","46","3.402","28.3","34.8","28.3","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"","460
002","47","3.468","34.0","31.9","27.7","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","34","3.397","26.5","35.3","29.4","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","127","3.425","29.9","33.9","28.3","7.1","0.8",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","14","3.321","21.4","21.4","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","14","3.167","21.4","14.3","21.4","28.6",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 62 of 426"
