"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","16","3.971","87.5","6.3",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","6.3","."
"Junior","26","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","82","3.991","98.8",".","1.2","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","125","3.991","97.6","0.8","0.8","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","0.8","."
"Special","2","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","39","",".",".",".","",".","",".","",".","",".","89.7","",".",".","",".","5.1","",".",".","5.1","."
"Prof Yr 1","13","4.000","92.3",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","7.7","."
"Prof Yr 2","4","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","60","3.631","58.3","26.7","11.7","",".","",".","",".","",".","1.7","",".",".","",".","1.7","",".",".",".","."
"Prof Yr 4","182","3.856","75.3","19.2","3.3","",".","",".","",".","",".","1.1","",".",".","",".","0.5","",".",".",".","0.5"
"Professionals","259","3.788","72.6","19.7","5.0","",".","",".","",".","",".","1.2","",".",".","",".","0.8","",".",".","0.4","0.4"
