"Summary by Level","#","Ave","A","AB","B","BC","","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"NTP","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","7","4.000","100.0",".",".","",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Senior","36","3.688","88.9","2.8","2.8","",".",".","2.8","2.8",".",".",".","",".","",".",".",".",".","."
"Undergraduates","45","3.741","91.1","2.2","2.2","",".",".","2.2","2.2",".",".",".","",".","",".",".",".",".","."
"Special","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","144","3.560","28.5","2.1","6.9","",".","1.4",".",".","59.0","0.7",".","",".","",".","0.7",".","0.7","."
"Prof Yr 2","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","6","4.000","50.0",".",".","",".",".",".",".","50.0",".",".","",".","",".",".",".",".","."
"Professionals","9","4.000","55.6",".",".","",".",".",".",".","44.4",".",".","",".","",".",".",".",".","."
