"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
002","73","3.028","19.2","32.9","20.5","8.2","11.0","2.7","4.1",".",".",".",".",".",".",".","1.4","."
"","101
003","69","3.103","18.8","27.5","30.4","7.2","11.6","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"","101
005","75","3.147","22.7","24.0","30.7","10.7","9.3","2.7",".",".",".",".",".",".",".",".",".","."
"","006
101","55","3.109","16.4","32.7","30.9","10.9","5.5",".","3.6",".",".",".",".",".",".",".",".","."
"","101
008","77","3.630","37.7","51.9","9.1","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","009
101","74","3.253","33.8","33.8","12.2","8.1","4.1","2.7","4.1",".",".",".",".",".",".",".","1.4","."
"Introduction to Philosophy","Course Total","423","3.221","25.3","34.0","21.7","7.6","6.9","1.7","2.1","0.2",".",".",".",".",".",".","0.5","."
"The Meaning of Life","141
001","56","3.380","30.4","35.7","16.1","8.9","3.6","1.8",".",".",".",".",".",".",".",".","3.6","."
"Reason in Communication","210
001","58","3.155","29.3","24.1","17.2","17.2","6.9","5.2",".",".",".",".",".",".",".",".",".","."
"","211
001","78","3.378","41.0","25.6","14.1","6.4","12.8",".",".",".",".",".",".",".",".",".",".","."
"","211
002","69","3.464","18.8","63.8","13.0","2.9",".","1.4",".",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","147","3.418","30.6","43.5","13.6","4.8","6.8","0.7",".",".",".",".",".",".",".",".",".","."
"","241
001","73","3.514","31.5","41.1","20.5","4.1",".",".",".","1.4",".",".",".",".",".","1.4",".","."
"","002
241","83","3.281","10.8","43.4","37.3","3.6",".",".","1.2","1.2",".",".",".",".","1.2","1.2",".","."
"Introductory Ethics","Course Total","156","3.391","20.5","42.3","29.5","3.8",".",".","0.6","1.3",".",".",".",".","0.6","1.3",".","."
"Ethics in Business","243
001","59","3.678","55.9","25.4","16.9","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","304
001","23","3.295","8.7","65.2","17.4",".",".",".","4.3",".",".",".",".",".","4.3",".",".","."
"","304
002","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","33","3.435","39.4","30.3","6.1","9.1","9.1",".",".","3.0","3.0",".",".",".",".",".",".","."
"Topic in Philosophy-Humanities","Course Total","77","3.534","45.5","33.8","7.8","3.9","3.9",".","1.3","1.3","1.3",".",".",".","1.3",".",".","."
"","341
001","91","3.708","56.0","31.9","6.6","1.1","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"","341
003","79","3.559","48.1","24.1","19.0","2.5","1.3",".","1.3","3.8",".",".",".",".",".",".",".","."
"","341
005","68","3.597","32.4","57.4","5.9","1.5","1.5",".",".",".",".",".",".",".","1.5",".",".","."
"","341
093","18","3.667","61.1","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","19","3.868","84.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","341
096","20","3.500","35.0","40.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","295","3.637","49.2","33.9","10.5","2.7","1.4",".","0.3","1.7",".",".",".",".","0.3",".",".","."
"History-Modern Philosophy","432
001","52","3.135","30.8","25.0","21.2","9.6","7.7",".","5.8",".",".",".",".",".",".",".",".","."
"Jewish Philos:Antiquity-17c","435
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Existentialism","440
002","51","3.453","27.5","39.2","11.8","2.0","2.0",".","2.0",".",".",".",".",".","7.8",".","7.8","."
"Classical Philosophers","454
001","20","3.472","30.0","35.0","15.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Tops-Theory of Knowldg","504
001","17","3.633","41.2","29.4","17.6",".",".",".",".",".",".",".",".",".","5.9","5.9",".","."
"Methods of Logic","512
001","9","3.563","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Modern Ethical Theories","541
001","26","3.480","26.9","46.2","15.4","7.7",".",".",".","3.8",".",".",".",".",".",".",".","."
"Ethical Issues in Health Care","558
001","13","3.455","30.8","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".","15.4","."
"Metaphysics","560
001","24","3.432","20.8","41.7","25.0","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"Spec Topics in Metaphysics","001
562","15","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Seminar","582
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 292 of 426",""
