"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","","21","3.175","33.3","23.8","19.0","9.5",".","4.8","4.8",".",".",".",".",".","4.8",".",".","."
"Divides&Differences-Multicultr","202
001","","189","3.717","68.3","19.6","8.5","1.1","0.5","1.1","1.1",".",".",".",".",".",".",".",".","."
"","341
001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Tech Aspects","Course Total","","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History and Future of Books","350
001","","21","3.548","38.1","42.9","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","","73","3.651","57.5","26.0","12.3","2.7",".",".","1.4",".",".",".",".",".",".",".",".","."
"Code and Power","500
001","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","517
001","","6","3.083","33.3","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","517
002","","8","2.688","12.5","12.5","50.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","517
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Health","Course Total","","15","2.800","20.0","26.7","26.7",".","13.3",".","13.3",".",".",".",".",".",".",".",".","."
"","601
001","","30","3.833","73.3","23.3",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","","45","3.878","80.0","17.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Assessment","Course Total","","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience Design 2","612
001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","616
001","","9","3.556","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","616
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Records Management","Course Total","","13","3.692","53.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
002","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","Course Total","","15","3.800","73.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Literature","631
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metadata Standards and XML","632
001","","15","3.733","60.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","639
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","Course Total","","19","3.711","63.2","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
003","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
005","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
007","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
009","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
