"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","252","3.610","64.7","13.5","10.7","5.2","2.8","1.6","0.8","0.8",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","256","3.611","57.8","23.4","7.8","6.6","3.9",".","0.4",".",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","002","","47","3.628","59.6","25.5","6.4","2.1","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","43","3.826","76.7","16.3","4.7",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"474","001","","37","3.905","86.5","10.8",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"474","002","","39","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474","003","","39","3.551","51.3","28.2","12.8","5.1",".",".","2.6",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","115","3.796","74.8","17.4","4.3","2.6",".",".","0.9",".",".",".",".",".",".",".",".","."
"501
Special Topics","001","","36","3.571","61.1","13.9","13.9","2.8","2.8",".","2.8",".",".",".",".",".","2.8",".",".","."
"516
Family Stress and Resilience","001","","46","3.789","76.1","8.7","6.5","6.5",".",".",".",".",".",".",".",".","2.2",".",".","."
"517
Couple Relationships","001","","44","3.477","47.7","22.7","18.2","4.5","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"592
Research Experience in HDFS","001","","20","3.814","90.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","002","","50","3.920","98.0",".",".",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"650","001","","34","3.864","73.5","20.6","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"650","002","","30","3.800","73.3","16.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","Course Total","","64","3.833","73.4","18.8","4.7","1.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"663
Developmental & Fam Assessment","001","","37","3.903","83.8","8.1","5.4",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Ethnic/Racial Social Dev","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Current Topics in HDFS","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"818
Attachment Thry & Relationship","001","","13","3.955","76.9","7.7",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","18","",".",".",".",".",".",".",".","88.9","5.6",".",".","5.6",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
