"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","64","3.563","53.1","18.8","21.9","1.6","1.6",".","1.6",".",".",".",".",".","1.6",".",".","."
"Intro to Interior Architecture","130","001","","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","154","001","","18","3.639","66.7","5.6","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","37","3.838","67.6","32.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","11","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242","001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242","002","","18","3.750","88.9","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Visual Communication II","","Course Total","","37","3.811","81.1","16.2",".",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","46","2.875","13.0","23.9","19.6","17.4","15.2","6.5",".","4.3",".",".",".",".",".",".",".","."
"Design Leadership Symposium","252","001","","68","3.699","75.0","11.8","2.9","4.4","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Design/Fashion Event Practicum","270","001","","32","3.906","90.6","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","36","3.614","52.8","25.0","13.9",".","5.6",".",".",".",".",".",".",".","2.8",".",".","."
"Hist of Arch. & Interiors II","422","001","","42","3.782","73.8","14.3",".","2.4",".",".","2.4",".",".",".",".",".",".","7.1",".","."
"Textile Design: Weaving II","429","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","30","3.586","46.7","26.7","20.0",".","3.3",".",".",".",".",".",".",".",".","3.3",".","."
"","501","003","","9","3.056","44.4",".","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","501","013","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","015","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","016","","19","3.763","89.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","57","3.705","80.7","8.8","3.5","1.8","1.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"Global Artisans","527","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Creative Practice","529","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Event Management","570","002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","","31","3.967","90.3","6.5",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Portfolio Preparation","624","001","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","6","3.684","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","6","3.864","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
