"","990
203","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
208","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
209","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","9","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"PEDIAT
708","Dept. Total","143","3.777","76.9","6.3","12.6","",".","",".","",".","",".","4.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","9","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","29","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","42","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","","30","3.857","73.3",".","6.7","",".","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","18","3.854","88.9","5.6","5.6","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","31","3.450","35.5","22.6","41.9","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","18","3.881","83.3","5.6","11.1","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","97","3.676","66.0","9.3","18.6","",".","",".","",".","",".","6.2","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","143","3.777","76.9","6.3","12.6","",".","",".","",".","",".","4.2","",".",".","",".","",".","",".",".",".","."
