"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEBREW-BIBLICAL","Section","","#","Ave","A","AB","","B","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"441
HEBR-BIB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Elementary Biblical Hebrew, II","104","001","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Biblical Hebrew, II","324","001","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Adv Near Eastern Languages","700","001","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Pentateuchal Legal Codes","744","001","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","002","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990","062","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","5","***","","","","","","","","","","","","","","","","","","","","",""
"HEBR-BIB
441","","Dept. Total","17","3.757","52.9","",".","5.9","5.9","",".","",".","",".","23.5","",".",".",".","5.9",".",".","5.9","."
