"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","15","3.274","26.7","26.7","26.7","13.3","6.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","44","3.333","43.2","15.9","18.2","9.1","11.4","",".","",".",".","",".",".","",".",".","",".",".","2.3","."
"Senior","","108","3.329","42.6","13.9","22.2","11.1","8.3","",".","",".","0.9","",".",".","",".",".","",".",".","0.9","."
"Undergraduates","","172","3.337","41.9","15.7","21.5","10.5","8.7","",".","",".","0.6","",".",".","",".",".","",".",".","1.2","."
"Special","","1","***","","","","","","","","","","","","",".","",".",".","",".",".","100.0","."
"Graduate","","59","3.593","30.5","10.2","6.8",".","1.7","",".","",".","23.7","",".",".","",".","25.4","",".","1.7",".","."
"","Dept. Total","232","3.362","38.8","14.2","17.7","7.8","6.9","",".","",".","6.5","",".",".","",".","6.5","",".","0.4","1.3","."
