"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","10","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","14","3.867","92.9",".","7.1",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","25","3.926","96.0",".","4.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","17","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","384","3.414","37.2","23.2","28.6","5.7","4.2","0.3","",".",".","",".",".","",".","",".","0.8",".",".","."
"Prof Yr 2","176","3.188","26.1","17.6","35.2","9.7","9.1","1.1","",".","1.1","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","53","4.000","5.7",".",".",".",".",".","",".","84.9","",".",".","",".","",".",".",".","9.4","."
"Professionals","613","3.346","31.3","19.6","28.1","6.4","5.2","0.5","",".","7.7","",".",".","",".","",".","0.5",".","0.8","."
