"Leadership Lab 3B","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Officership","402
001","16","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Leadership Lab 4B","411
001","16","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"American Military History","491
001","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MIL SCI
644","Dept. Total","186","3.943","91.9","2.2","4.8","0.5","",".","",".","",".","",".","",".",".","",".","",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","34","3.757","73.5","2.9","20.6","2.9","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","39","3.958","89.7","5.1","2.6",".","",".","",".","",".","",".","",".",".","",".","",".","2.6",".",".","."
"Junior","","41","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","65","3.965","96.9","1.5","1.5",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","179","3.941","91.6","2.2","5.0","0.6","",".","",".","",".","",".","",".",".","",".","",".","0.6",".",".","."
"Special","","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","4","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","186","3.943","91.9","2.2","4.8","0.5","",".","",".","",".","",".","",".",".","",".","",".","0.5",".",".","."
