"","990
129","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
130","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
131","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","45","",".",".",".",".",".",".",".","77.8","",".",".","",".","22.2","",".",".",".","."
"PATH
704","Dept. Total","552","3.307","32.2","18.8","17.0","9.2","4.9","1.1","0.7","7.1","",".","6.9","",".","1.8","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","78","3.050","29.5","16.7","24.4","17.9","2.6","2.6","5.1",".","",".",".","",".",".","",".",".","1.3","."
"Senior","","179","3.390","39.1","26.8","17.9","8.4","5.6","1.7",".","0.6","",".",".","",".",".","",".",".",".","."
"Undergraduates","","260","3.283","36.5","23.5","19.6","11.2","4.6","2.3","1.5","0.4","",".",".","",".",".","",".",".","0.4","."
"Special","","12","3.157","33.3","16.7","8.3","33.3","8.3",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","154","3.857","42.9","1.9","1.3","0.6",".",".",".","22.1","",".","24.7","",".","6.5","",".",".",".","."
"Prof Yr 1","","130","3.162","19.2","26.9","30.8","13.1","10.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","","15","3.941","86.7","13.3",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","16","3.967","81.3","6.3",".",".",".",".",".","12.5","",".",".","",".",".","",".",".",".","."
"Professionals","","164","3.265","31.1","23.2","24.4","10.4","8.5",".",".","2.4","",".",".","",".",".","",".",".",".","."
"","Dept. Total","590","3.307","36.6","17.6","15.9","8.6","4.6","1.0","0.7","6.6","",".","6.4","",".","1.7","",".",".","0.2","."
