"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"B M I","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","13","3.813","61.5","15.4","7.7","",".","",".","",".","",".",".","",".",".","",".","",".","7.7",".","7.7","."
"Undergraduates","","13","3.813","61.5","15.4","7.7","",".","",".","",".","",".",".","",".",".","",".","",".","7.7",".","7.7","."
"Special","","17","3.922","76.5","17.6",".","",".","",".","",".","",".","5.9","",".",".","",".","",".",".",".",".","."
"Graduate","","77","3.901","64.9","18.2","1.3","",".","",".","",".","",".","7.8","",".",".","",".","",".",".",".","7.8","."
"Prof Yr 1","","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","7","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
