"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"","352
002","27","3.074","18.5","18.5","33.3","18.5","11.1",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","118","3.136","21.2","22.0","31.4","15.3","9.3","0.8",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","73","3.268","21.9","30.1","30.1","11.0","2.7","1.4",".","1.4",".",".",".",".","1.4",".",".","."
"","354
001","18","3.139","33.3","27.8","5.6","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","354
002","38","3.474","42.1","23.7","23.7","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"","354
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","57","3.368","38.6","26.3","17.5","8.8","7.0","1.8",".",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","355
001","34","3.397","20.6","47.1","26.5","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","370
001","17","3.588","47.1","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","45","3.733","62.2","22.2","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","001
376","97","2.969","18.6","10.3","42.3","12.4","13.4","2.1","1.0",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","89","3.579","38.2","47.2","10.1","3.4",".","1.1",".",".",".",".",".",".",".",".",".","."
"","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
064","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
099","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","19","3.953","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","40","3.650","72.5",".","20.0",".","7.5",".",".",".",".",".",".",".",".",".",".","."
"","412
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
004","13","3.385","53.8",".","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","73","3.699","76.7",".","16.4",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","001
420","11","3.500","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434
001","22","3.658","54.5","13.6","9.1","9.1",".",".",".","13.6",".",".",".",".",".",".",".","."
"","435
002","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","435
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Cryptography","Course Total","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453
001","26","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","5","***","","","","","","","","","","","","","","","",""
"Elec Mach&Drive Systm Lab","504
001","10","3.722","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Software Engineering","506
001","7","2.857","14.3","28.6","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524
001","36","3.597","44.4","30.6","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 123 of 426",""
