"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM
758","Dept. Total","160","3.750","50.6","5.6","8.1","0.6","",".","",".","0.6","30.0","",".",".","",".","4.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","10","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","50","3.894","88.0","4.0","6.0","2.0","",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","61","3.911","90.2","3.3","4.9","1.6","",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","95","3.468","25.3","7.4","9.5",".","",".","",".","1.1","49.5","",".",".","",".","7.4","",".",".",".","."
"Prof Yr 4","","4","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","4","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","160","3.750","50.6","5.6","8.1","0.6","",".","",".","0.6","30.0","",".",".","",".","4.4","",".",".",".","."
