"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Topics-Contemp Soc Welfare","672
001","13","3.538","46.2","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","24","3.438","20.8","50.0","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","711
020","11","3.455","27.3","54.5","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","Course Total","35","3.443","22.9","51.4","20.0","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","742
010","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
011","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
020","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","Course Total","55","3.927","87.3","10.9","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
050","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","15","3.963","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
003","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
004","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
005","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
102","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
103","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
104","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
105","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
201","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
202","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
203","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
204","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","163","3.937","90.2","8.0","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","825
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","825
010","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grief, Death, Loss and Life","Course Total","35","3.914","85.7","11.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
001","34","3.868","76.5","20.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","24","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 318 of 426",""
