"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"NURSING","","","","","","","","","","","","","","","","","","",""
"Freshmen","5","***","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","39","3.758","74.4","12.8","7.7","2.6",".",".","2.6",".","",".",".",".",".",".",".",".","."
"Junior","234","3.800","48.7","16.7","3.0","0.4",".",".",".",".","",".","30.8",".",".",".",".",".","0.4"
"Senior","1309","3.753","52.6","20.7","5.8","1.5","0.3","0.1","0.2","0.1","",".","18.6","0.2",".",".",".",".","."
"Undergraduates","1587","3.759","52.6","20.0","5.4","1.3","0.3","0.1","0.3","0.1","",".","19.9","0.1",".",".",".",".","0.1"
"Special","17","3.706","70.6","17.6","11.8",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","276","3.923","72.1","8.0","1.1",".",".","0.4",".","16.7","",".",".",".","1.4","0.4",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","8","3.864","87.5",".","12.5",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","10","3.893","90.0",".","10.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
