"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","240","2.957","12.5","15.8","36.7","19.2","9.6","2.1","0.4","3.8",".",".",".",".",".",".",".","."
"Politics Around the World","120","001","133","3.242","30.1","26.3","21.1","12.8","6.8","0.8","1.5","0.8",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","140","001","245","3.341","33.5","25.7","24.1","10.6","5.3","0.8",".",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","160","001","98","3.299","24.5","40.8","18.4","8.2","5.1",".","2.0",".",".",".",".",".","1.0",".",".","."
"Research Methods in Poli Sci","170","001","97","3.351","36.1","34.0","9.3","13.4","3.1","4.1",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Political Psych","206","001","44","2.821","13.6","20.5","15.9","15.9","13.6","9.1",".","9.1",".",".",".",".","2.3",".",".","."
"Politcs:Multi-Cultural Soc","231","001","89","3.461","46.1","31.5","13.5","2.2","2.2","1.1","3.4",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","28","3.804","64.3","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","25","3.740","76.0","4.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","270","001","46","3.674","56.5","32.6","4.3","2.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"Political Choice and Strategy","274","001","45","3.011","15.6","22.2","40.0","6.7","11.1","2.2","2.2",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","37","3.473","48.6","13.5","27.0","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","10","3.550","60.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"United States Congress","311","001","50","3.276","24.0","32.0","26.0","10.0","4.0","2.0",".","2.0",".",".",".",".",".",".",".","."
"Legislative Internship","315","001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics of Southeast Asia","322","001","26","3.688","50.0","26.9","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"African Politics","329","001","18","3.556","44.4","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Politics","334","001","49","3.302","22.4","32.7","30.6","6.1","6.1",".",".",".",".",".",".",".","2.0",".",".","."
"China in World Politics","346","001","68","3.739","66.2","17.6","10.3","4.4",".",".",".","1.5",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","348","001","49","3.143","24.5","30.6","24.5","2.0","12.2","6.1",".",".",".",".",".",".",".",".",".","."
"Labor in Americas: US & Mexico","355","001","15","3.000","20.0","26.7","20.0","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Literature and Politics","363","001","49","3.735","65.3","24.5","8.2",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","49","3.567","44.9","30.6","14.3","4.1",".","2.0",".",".",".",".",".",".","2.0",".","2.0","."
"Nuclear Weapons&World Poltc","377","001","98","3.323","32.7","33.7","18.4","5.1","2.0","5.1","1.0",".",".",".",".",".","1.0","1.0",".","."
"","400","002","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","005","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","400","006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","66","3.985","95.5","3.0",".",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"","401","001","23","3.500","34.8","34.8","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","41","3.659","51.2","31.7","14.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","50","2.949","12.0","22.0","28.0","28.0","4.0","2.0","2.0","2.0",".",".",".",".",".",".",".","."
"The American Constitution II","412","001","54","3.740","51.9","38.9","5.6",".",".",".",".","1.9",".",".",".",".","1.9",".",".","."
"The Politics of Human Rights","434","001","83","3.219","27.7","32.5","16.9","9.6","4.8","1.2","3.6","3.6",".",".",".",".",".",".",".","."
"Comparative Political Culture","438","001","17","3.500","41.2","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","460","002","18","2.917","22.2","16.7","33.3","11.1","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 298 of 426",""
