"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"","990
078","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
081","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","32","",".",".",".",".",".",".","",".","81.3","",".",".","",".","18.8",".",".",".","."
"PATH-BIO
703","Dept. Total","845","3.518","35.0","9.8","12.7","2.0","1.2","0.1","",".","29.7","",".",".","",".","0.7","4.5",".","4.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","9","3.688","77.8",".","11.1","11.1",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","22","3.459","54.5","9.1","27.3",".","9.1",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","35","3.484","60.0","5.7","22.9","2.9","8.6",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","59","3.588","11.9","8.5","5.1","1.7",".",".","",".","62.7","",".",".","",".","8.5","1.7",".",".","."
"Prof Yr 1","","197","3.350","16.8","5.6","22.8","2.5","1.0",".","",".","31.5","",".",".","",".",".","4.6",".","15.2","."
"Prof Yr 2","","360","3.492","38.6","13.3","12.8","2.8","1.4","0.3","",".","21.9","",".",".","",".",".","7.8",".","1.1","."
"Prof Yr 3","","85","3.831","68.2","20.0","5.9",".",".",".","",".","5.9","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","109","4.000","34.9",".",".",".",".",".","",".","62.4","",".",".","",".","0.9",".",".","1.8","."
"Professionals","","751","3.518","35.7","10.1","12.8","2.0","0.9","0.1","",".","28.5","",".",".","",".","0.1","4.9",".","4.8","."
"","Dept. Total","845","3.518","35.0","9.8","12.7","2.0","1.2","0.1","",".","29.7","",".",".","",".","0.7","4.5",".","4.3","."
