"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"","267
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
089","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
135","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
189","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","52","3.990","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
268","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","","34","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
171","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
101","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
102","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","","27","3.741","55.6","37.0","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Music Education","300
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 2","302
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork in Music Communities","303
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","319
001","","108","3.660","59.3","7.4","24.1",".","1.9",".",".","7.4",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Vocal Styles in Class","344
001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","346
016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musical Cultures-World","402
001","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Band","41
001","","58","3.991","98.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Instr","410
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
011","","24","3.438","50.0","4.2","37.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","","21","3.684","38.1","47.6","4.8",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"Varsity Band","42
001","","266","3.998","99.6","0.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","","84","3.952","97.6",".",".",".",".",".","1.2","1.2",".",".",".",".",".",".",".","."
"","43
002","","65","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
