"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"722
Entrepreneurial Management","001","","34","3.773","55.9","38.2","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"723
Business Strategy","003","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"728
Barg,Negot,Dispute Settlmnt","001","","32","3.797","75.0","12.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"729
Bhv Anal-Mgt Decisn Making","001","","8","3.500","25.0","37.5",".","12.5",".",".",".","12.5",".",".",".",".",".","12.5",".","."
"738
Weinert Appl Ventr in Entreshp","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Technology Entrepreneurship","001","","18","3.389","33.3","27.8","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","52","3.529","25.0","55.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","002","","52","3.519","30.8","42.3","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"765","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","008","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","030","","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","031","","40","3.788","57.5","42.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","236","3.781","60.6","29.2","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"774
Seminar-Arts Administration","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","074","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"977
Emerging Entrepreneurship","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","9","",".",".",".",".",".",".",".","22.2",".",".",".","77.8",".",".",".","."
"999
Read&Rsch-Mgmt&H Resrcs PhD","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
