"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","6224","3.209","32.1","19.0","21.2","9.7","7.6","2.2","1.6","3.7","0.0","2.0","0.1","0.1","0.3","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","175","2.835","24.0","16.0","23.4","11.4","13.1","4.0","5.7",".",".","0.6",".",".","0.6",".",".","1.1"
"Sophomore","","1010","3.054","28.2","19.4","22.7","12.8","9.0","4.3","2.0","0.1",".","1.4",".",".",".",".",".","0.2"
"Junior","","1584","3.068","24.7","19.5","26.0","11.2","9.9","3.0","2.2","0.4",".","2.1","0.5",".","0.4",".",".","."
"Senior","","2163","3.174","29.2","19.5","24.1","11.5","8.9","1.8","1.4","0.6","0.0","2.5","0.0","0.0","0.4","0.0",".","0.1"
"Undergraduates","","4932","3.107","27.4","19.3","24.4","11.6","9.4","2.8","1.9","0.4","0.0","2.1","0.2","0.0","0.3","0.0",".","0.1"
"Special","","301","3.617","58.8","17.6","12.0","3.3","1.7","1.0","1.3","1.0",".","2.7",".",".","0.3",".","0.3","."
"Graduate","","995","3.699","47.7","17.7","8.3","1.9","0.4",".","0.3","21.1",".","1.5",".","0.3","0.2",".","0.5","."
"","Dept. Total","6228","3.209","32.2","19.0","21.2","9.7","7.6","2.2","1.6","3.7","0.0","2.0","0.1","0.1","0.3","0.0","0.1","0.1"
