"L&S","","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","",""
"Latin America-Introduction","260","001","","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Labor in Americas: US & Mexico","355","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Quechua","362","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LACIS","440","005","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
