"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","383
001","77","3.253","29.9","15.6","41.6","6.5","3.9","2.6","",".",".","",".","",".",".","",".","",".","",".",".","."
"","384
001","21","3.262","19.0","14.3","66.7",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","002
384","17","3.471","35.3","23.5","41.2",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","384
003","19","3.579","52.6","10.5","36.8",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","384
005","14","3.286","28.6","14.3","50.0",".","7.1",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Cellular Biology Laboratory","Course Total","71","3.401","33.8","15.5","49.3",".","1.4",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Biological Interactions","587
001","63","3.357","28.6","27.0","38.1","3.2","1.6","1.6","",".",".","",".","",".",".","",".","",".","",".",".","."
"","699
001","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
002","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","",""
"BIOCORE
206","Dept. Total","215","3.335","32.1","18.6","42.3","3.3","2.3","1.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","14","3.071","28.6",".","57.1","7.1",".","7.1","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","109","3.372","34.9","14.7","45.0","3.7","1.8",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","91","3.329","29.7","25.3","37.4","2.2","3.3","2.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","214","3.334","32.2","18.2","42.5","3.3","2.3","1.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","215","3.335","32.1","18.6","42.3","3.3","2.3","1.4","",".","",".","",".",".","",".","",".","",".",".",".","."
