"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"","E ASIAN LANGUAGES & LITERATSection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","","45","3.511","42.2","35.6","13.3","2.2",".","4.4",".","2.2",".",".",".",".",".",".",".","."
"Second Semester Japanese","104","001","","76","3.573","47.4","38.2","3.9","3.9","3.9",".","1.3","1.3",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","","41","3.793","73.2","17.1","4.9","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","121","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121","002","","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","121","003","","14","3.286","50.0","14.3","21.4",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","","38","3.592","63.2","15.8","13.2","2.6","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","123","001","","26","3.708","53.8","23.1","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","123","002","","22","3.929","86.4","4.5","4.5",".",".",".",".",".","4.5",".",".",".",".",".",".","."
"","123","003","","28","3.722","67.9","10.7","14.3",".","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","","76","3.778","68.4","13.2","11.8",".","1.3",".",".","3.9","1.3",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","","29","3.518","44.8","27.6","17.2","3.4",".","3.4",".",".",".",".",".",".","3.4",".",".","."
"Fourth Semester Japanese","204","001","","20","3.342","40.0","5.0","30.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","300","001","","20","3.750","50.0","35.0","5.0",".",".",".",".","5.0",".",".",".",".",".","5.0",".","."
"","300","002","","15","3.333","20.0","6.7","26.7","6.7",".",".",".","40.0",".",".",".",".",".",".",".","."
"","300","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","","42","3.529","40.5","21.4","14.3","2.4",".",".","2.4","16.7",".",".",".",".",".","2.4",".","."
"Sixth Semester Chinese","302","001","","23","3.565","65.2","13.0","8.7","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","326","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Japanese","328","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","","12","3.522","66.7","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean","348","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","","18","3.556","33.3","50.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Language in Japanese Society","358","001","","14","3.625","42.9","21.4","21.4",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Japanese Poetic Tradition","367","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","","94","3.787","79.8","11.7","3.2","1.1","3.2",".","1.1",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bus Japanese Communication","377","001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anime","378","001","","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Business Chinese","379","001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Korean","406","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
