"ART HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"799","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","4.000","87.0",".",".",".",".",".",".",".",".",".",".",".","8.7",".","4.3","."
"800
Smr:Spec Topics-Art History","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"802
Vis Cult: Topics in Vis Cult","001","","19","4.000","84.2",".",".",".",".",".",".",".",".",".",".",".","15.8",".",".","."
"815
Seminar-Medieval Art","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"876
Seminar in Chinese Art","001","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","19","",".",".",".",".",".",".",".","73.7",".",".",".","26.3",".",".",".","."
