"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"EMER MED","","","","","","","","","","","","","","","","","","",""
"Senior","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".","100.0","."
"Prof Yr 1","","31","",".",".",".",".",".",".",".","96.8",".",".",".",".","3.2",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","27","3.680","37.0","51.9","3.7",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Prof Yr 4","","28","3.726","53.6","35.7","7.1",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Professionals","","87","3.709","28.7","27.6","3.4",".",".",".",".","39.1",".",".",".",".","1.1",".",".","."
