"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","",""
"125
Community and Social Change","001","","44","3.693","59.1","25.0","11.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"130
Community Newswriting","001","","45","3.689","66.7","15.6","8.9","6.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"254
CNPL Leadership Symposium","001","","101","3.718","65.3","24.8","5.9",".","3.0",".","1.0",".",".",".",".",".",".",".",".","."
"299
Independent Study","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Nonprofit Sector: Overview","001","","35","3.929","88.6","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"345
Strategic Plan-Nonprofit Orgs","001","","35","3.400","45.7","31.4","5.7","8.6","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","16","3.594","81.3",".","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"460
Civil Soc & Commnty Leadership","001","","34","3.677","67.6","8.8","8.8","2.9",".",".","2.9",".",".",".",".",".","8.8",".",".","."
"501","001","","8","3.643","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"501","003","","34","3.864","76.5","14.7","5.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"501","004","","27","3.680","55.6","18.5","14.8","3.7",".",".",".",".",".",".",".",".","7.4",".",".","."
"Special Topics","Course Total","","69","3.769","63.8","18.8","10.1","1.4",".",".",".","1.4",".",".",".",".","4.3",".",".","."
"570
Community Based Resrch & Eval","001","","41","3.415","41.5","31.7","7.3","12.2","4.9","2.4",".",".",".",".",".",".",".",".",".","."
"601
Internship","001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Civil Soc & Community Research","Course Total","","13","3.976","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","12","",".",".",".",".",".",".",".","33.3",".",".",".","50.0",".",".","16.7","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
