"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","22","3.818","95.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","100
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","22","3.143","31.8","18.2","22.7","9.1","9.1",".","4.5","4.5",".",".",".",".",".",".",".","."
"","005
100","21","3.167","19.0","52.4","14.3",".","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","006
100","22","3.591","45.5","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
100","23","3.795","73.9","13.0","4.3",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","100
009","22","3.432","54.5","27.3","4.5","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"","100
010","21","3.690","71.4","14.3","4.8",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","100
011","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
100","19","3.658","36.8","57.9","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","277","3.684","67.1","18.8","7.6","1.4","2.2","0.7","1.4","0.7",".",".",".",".",".",".",".","."
"","102
001","15","3.600","46.7","40.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","17","3.781","58.8","29.4","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","32","3.694","53.1","34.4","6.3",".","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"","104
001","17","3.765","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","104
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","72","3.917","93.1","5.6",".",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"","107
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
003","22","3.773","81.8","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","107
004","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
005","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
006","21","3.975","90.5","4.8",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","107
007","15","3.750","80.0","6.7",".",".",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","Course Total","135","3.925","91.9","4.4","0.7",".",".","1.5",".","1.5",".",".",".",".",".",".",".","."
"","112
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","003
112","16","3.438","37.5","37.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","112
004","20","3.525","45.0","45.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","112
005","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","006
112","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
007","18","3.265","44.4","33.3",".","5.6",".",".","11.1",".",".",".",".",".",".","5.6",".","."
"Drawing I","Course Total","131","3.717","69.5","20.6","2.3","3.1","0.8",".","2.3","0.8",".",".",".",".",".","0.8",".","."
"","176
001","13","3.462","53.8","30.8","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","176
002","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","003
176","16","3.867","75.0","12.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","176
004","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
005","14","3.536","71.4","7.1","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","006
176","16","3.531","75.0","6.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","89","3.676","73.0","12.4","6.7",".","3.4","1.1","2.2","1.1",".",".",".",".",".",".",".","."
