"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL ST
504","Dept. Total","285","3.511","33.3","26.0","11.2","3.9","2.8","",".","",".","",".","",".","21.1","0.4","",".","0.7",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.364","29.4","35.3","5.9","5.9","11.8","",".","",".","",".","",".","11.8",".","",".",".",".",".","."
"Sophomore","","82","3.597","35.4","26.8","12.2",".","2.4","",".","",".","",".","",".","20.7","1.2","",".","1.2",".",".","."
"Junior","","73","3.428","28.8","24.7","5.5","5.5","5.5","",".","",".","",".","",".","30.1",".","",".",".",".",".","."
"Senior","","102","3.538","39.2","26.5","15.7","4.9",".","",".","",".","",".","",".","11.8",".","",".","1.0",".","1.0","."
"Undergraduates","","274","3.517","34.7","26.6","11.3","3.6","2.9","",".","",".","",".","",".","19.3","0.4","",".","0.7",".","0.4","."
"Special","","11","3.000",".","9.1","9.1","9.1",".","",".","",".","",".","",".","63.6",".","",".",".",".","9.1","."
"","Dept. Total","285","3.511","33.3","26.0","11.2","3.9","2.8","",".","",".","",".","",".","21.1","0.4","",".","0.7",".","0.7","."
