"L&S","","","","","","","","","","","","","","","","","","","","","",""
"ITALIAN (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","",""
"ITALIAN
Dept. Total
508","268","3.623","56.3","19.4","10.8","5.6","1.9","",".","0.4","4.5","",".","0.4","",".","0.7","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","24","3.438","37.5","25.0","25.0","12.5",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","68","3.630","52.9","29.4","10.3","5.9","1.5","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","53","3.616","62.3","18.9","7.5","7.5",".","",".","1.9","1.9","",".",".","",".",".","",".",".",".","."
"Senior","89","3.628","59.6","18.0","12.4","4.5","3.4","",".",".","1.1","",".","1.1","",".",".","",".",".",".","."
"Undergraduates","234","3.605","56.0","22.2","12.0","6.4","1.7","",".","0.4","0.9","",".","0.4","",".",".","",".",".",".","."
"Special","6","3.600","66.7",".",".",".","16.7","",".",".","16.7","",".",".","",".",".","",".",".",".","."
"Graduate","28","3.926","57.1",".","3.6",".",".","",".",".","32.1","",".",".","",".","7.1","",".",".",".","."
"Dept. Total","268","3.623","56.3","19.4","10.8","5.6","1.9","",".","0.4","4.5","",".","0.4","",".","0.7","",".",".",".","."
