"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","101
001","","12","3.083","33.3","33.3","8.3",".","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"","002
101","","21","3.550","33.3","42.9","14.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","101
003","","23","3.174","17.4","39.1","17.4","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","22","3.818","72.7","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","","18","3.441","38.9","33.3","11.1","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"First Semester French","Course Total","","96","3.441","39.6","34.4","10.4","6.3","5.2","1.0","1.0","2.1",".",".",".",".",".",".",".","."
"","102
001","","19","3.184","26.3","26.3","15.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","23","3.523","43.5","26.1","17.4","4.3","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","003
102","","19","3.474","47.4","36.8","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","004
102","","16","3.219","25.0","18.8","31.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","21","3.553","52.4","19.0","9.5","4.8",".","4.8",".","9.5",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","","98","3.400","39.8","25.5","15.3","11.2","3.1","1.0","1.0","2.0",".",".",".",".","1.0",".",".","."
"","203
001","","17","3.324","11.8","52.9","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","20","3.395","35.0","30.0","10.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","203
003","","16","3.375","31.3","18.8","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","","53","3.365","26.4","34.0","24.5","11.3","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"","204
001","","11","3.500","54.5","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","20","3.100","20.0","35.0","20.0","5.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","204
003","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","","45","3.344","33.3","33.3","17.8","4.4","8.9","2.2",".",".",".",".",".",".",".",".",".","."
"","228
001","","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","228
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","228
004","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
228","","12","3.708","75.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","012
228","","16","3.438","25.0","62.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","014
228","","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","59","3.595","54.2","32.2","6.8","1.7","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"","271
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
271","","12","3.375","33.3","25.0","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","271
012","","10","3.550","50.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","013
271","","15","3.400","60.0","13.3","13.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","49","3.553","55.1","20.4","16.3",".","6.1",".","2.0",".",".",".",".",".",".",".",".","."
"Practical French Converstn","302
001","","18","3.969","83.3","5.6",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311
002","","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","","26","3.712","50.0","42.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321
001","","30","3.600","43.3","33.3","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","322
001","","25","3.900","92.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347
001","","25","3.600","56.0","24.0","12.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348
001","","14","3.750","78.6","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"French/Francophone Cultrl Stdy","462
001","","28","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 227 of 426",""
