"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","","27","3.620","48.1","22.2","18.5","3.7",".",".",".","7.4",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204","001","","18","3.361","50.0","33.3",".","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","209","001","","28","3.446","39.3","35.7","14.3","3.6","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"","209","002","","37","3.347","24.3","37.8","29.7","2.7",".",".","2.7","2.7",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","","Course Total","","65","3.391","30.8","36.9","23.1","3.1","1.5","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"Polish Lit Tran:Late19&20 C","218","001","","14","3.179","28.6","21.4","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Chekhov in Translation","220","001","","11","3.455","36.4","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","","22","3.614","40.9","40.9","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anime","232","001","","15","3.467","46.7","40.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234","001","","28","3.719","60.7","28.6","3.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","236","001","","13","3.346","38.5","38.5","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","236","002","","20","3.868","70.0","25.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Bascom Crse-In Translation","","Course Total","","33","3.656","57.6","30.3","6.1",".",".",".","3.0",".",".",".",".",".","3.0",".",".","."
"Topics-Slavic Lit in Translatn","247","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","","28","2.938","10.7","21.4","21.4","17.9","10.7","3.6",".",".",".",".",".",".",".","14.3",".","."
"Survey-Chinese Lit in Trans","262","001","","38","3.447","39.5","21.1","31.6","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264","001","","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","274","001","","22","3.341","18.2","45.5","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","274","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","","Course Total","","26","3.421","26.9","38.5","26.9","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","275","001","","50","3.560","60.0","18.0","10.0","6.0","4.0",".","2.0",".",".",".",".",".",".",".",".","."
"","275","002","","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275","003","","77","3.743","66.2","20.8","6.5","3.9","1.3",".",".",".","1.3",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","146","3.682","63.0","21.2","8.2","4.1","2.1",".","0.7",".","0.7",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","276","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-20c German Lit(in Tran)","277","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279","001","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jewish Literature","318","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324","001","","49","3.938","85.7","12.2",".",".",".",".",".",".",".",".",".",".",".","2.0",".","."
"Topics in Dutch Lit in Tran","326","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Woman in Scand Lit","343","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","","46","3.435","23.9","50.0","17.4","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","21","3.333","28.6","47.6","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"Mod Serb&Croat Lit in Trans","455","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
