"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"G L E","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","9","3.769","88.9",".","11.1",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","19","3.237","26.3","31.6","21.1","15.8","5.3",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","196","3.448","46.9","21.4","27.0","2.0","1.0","0.5","",".","1.0","",".",".","",".",".","",".",".",".","."
"Undergraduates","","225","3.434","47.1","21.3","25.8","3.1","1.3","0.4","",".","0.9","",".",".","",".",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","55","3.638","52.7","10.9","9.1",".",".","1.8","",".","21.8","",".",".","",".","3.6","",".",".",".","."
"","Dept. Total","281","3.468","48.4","19.2","22.4","2.5","1.1","0.7","",".","5.0","",".",".","",".","0.7","",".",".",".","."
