"COMMUNITY & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Reading and Research","3","***","","","","","","","","","","","","","","","","","","","",""
"C&E SOC
Dept. Total
864","302","3.513","45.4","25.8","15.9","5.6","2.6","0.7","",".","2.0","",".",".","",".","",".","1.7","0.3",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","8","3.135","25.0","25.0","37.5",".",".","12.5","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","39","3.484","43.6","28.2","15.4","10.3","2.6",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","67","3.544","49.3","20.9","22.4","1.5","3.0",".","",".",".","",".",".","",".","",".","1.5","1.5",".","."
"Senior","153","3.465","39.9","30.7","15.7","7.8","3.3","0.7","",".",".","",".",".","",".","",".","2.0",".",".","."
"Undergraduates","267","3.478","42.3","27.7","18.0","6.4","3.0","0.7","",".",".","",".",".","",".","",".","1.5","0.4",".","."
"Special","5","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","30","3.933","76.7","10.0",".",".",".",".","",".","10.0","",".",".","",".","",".","3.3",".",".","."
"Dept. Total","302","3.513","45.4","25.8","15.9","5.6","2.6","0.7","",".","2.0","",".",".","",".","",".","1.7","0.3",".","."
