"Indians of North America","314
001","38","3.162","18.4","26.3","31.6","10.5","10.5","",".",".",".","",".","",".",".","",".","","2.6",".",".","."
"Ojibwe Language IV","402
001","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","450
004","16","3.714","56.3","12.5","18.8",".",".","",".",".",".","",".","",".",".","",".","",".",".","12.5","."
"","450
013","6","3.667","50.0","33.3","16.7",".",".","",".",".",".","",".","",".",".","",".","",".",".",".","."
"Issues in Amer Ind Studies","Course Total","22","3.700","54.5","18.2","18.2",".",".","",".",".","",".","",".",".","",".","",".",".",".","9.1","."
"Directed Study","699
004","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"AMER IND
140","Dept. Total","234","3.598","58.5","18.4","13.7","3.0","2.6","",".","1.7","",".","",".",".","",".","",".","0.4",".","1.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","46","3.413","52.2","23.9","13.0","2.2","2.2","",".","6.5","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","85","3.612","64.7","12.9","12.9","3.5","4.7","",".","1.2","",".","",".",".","",".","",".",".",".",".","."
"Junior","","53","3.689","60.4","22.6","13.2","1.9","1.9","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","44","3.640","54.5","20.5","18.2","4.5",".","",".",".","",".","",".",".","",".","",".","2.3",".",".","."
"Undergraduates","","228","3.595","59.2","18.9","14.0","3.1","2.6","",".","1.8","",".","",".",".","",".","",".","0.4",".",".","."
"Special","","4","***","","","","","","","","","","","","",".","",".","",".",".",".","100.0","."
"Graduate","","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","234","3.598","58.5","18.4","13.7","3.0","2.6","",".","1.7","",".","",".",".","",".","",".","0.4",".","1.7","."
