"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","201
001","217","2.919","18.9","20.3","19.8","23.5","11.5","4.1","1.8",".",".",".",".",".",".",".",".","."
"","002
201","184","2.839","15.8","22.8","15.2","27.7","9.2","6.0","2.7",".",".",".",".",".","0.5",".",".","."
"Statics","Course Total","401","2.883","17.5","21.4","17.7","25.4","10.5","5.0","2.2",".",".",".",".",".","0.2",".",".","."
"Dynamics","202
001","132","2.809","8.3","14.4","39.4","20.5","11.4","3.0","2.3",".",".",".",".",".","0.8",".",".","."
"Mechanics of Materials","303
001","110","2.908","17.3","10.9","40.0","18.2","5.5","4.5","2.7",".",".",".",".",".","0.9",".",".","."
"","307
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
307","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","8","3.313","37.5","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","307
004","9","3.500","66.7","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","307
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
307","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
011","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
307","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","91","3.633","56.0","25.3","13.2","1.1","1.1","2.2",".",".",".",".",".",".","1.1",".",".","."
"Matrls-Constructed Facilities","395
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","27","3.296","22.2","37.0","25.9","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"","471
002","20","3.125","30.0","15.0","20.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","471
003","6","2.667","33.3","16.7",".","16.7",".","33.3",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","Course Total","26","3.019","30.8","15.4","15.4","19.2","11.5","7.7",".",".",".",".",".",".",".",".",".","."
"Intro-Sci Comput for Engr Phys","476
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","508
001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","14","3.250","21.4","35.7","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","21","3.548","42.9","28.6","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","60","3.292","26.7","31.7","28.3","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","40","2.500","7.5","10.0","20.0","15.0","42.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"Senior Design Project","001
569","55","3.400","45.5","7.3","38.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","599
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","601
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","25","3.800","64.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","36","3.824","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
