"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"","283","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","283","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Honors Seminar","","Course Total","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","6","3.167","66.7",".",".",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"The US Since 1945","306","001","82","3.352","19.5","40.2","19.5","3.7","1.2","1.2","1.2","13.4",".",".",".",".",".",".",".","."
"A History of Rome","307","001","119","3.245","28.6","21.0","24.4","7.6","9.2","1.7",".","7.6",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308","001","36","3.660","38.9","16.7","11.1","2.8",".",".",".","30.6",".",".",".",".",".",".",".","."
"Peoples Replc China 1949 on","342","002","45","3.662","44.4","15.6","11.1","4.4",".",".",".",".",".",".",".",".",".","24.4",".","."
"Transgender History","346","001","30","3.640","43.3","30.0","3.3","3.3","3.3",".",".","16.7",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","001","7","3.214","42.9",".","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","002","16","3.346","25.0","25.0","12.5","18.8",".",".",".","18.8",".",".",".",".",".",".",".","."
"Labor in Americas: US & Mexico","355","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Britain: 1485-1660","361","001","15","3.500","26.7","26.7","26.7",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","84","3.525","34.5","19.0","11.9","3.6","1.2",".","1.2",".",".",".",".",".","1.2","27.4",".","."
"History-American Education","412","001","35","3.357","42.9","11.4","28.6","14.3",".","2.9",".",".",".",".",".",".",".",".",".","."
"History of Russia","418","001","41","3.362","7.3","39.0","22.0","2.4",".",".",".","24.4",".",".",".",".","4.9",".",".","."
"Soviet Union & World,1917-1991","424","001","77","3.658","44.2","24.7","3.9","2.6","1.3","1.3",".","22.1",".",".",".",".",".",".",".","."
"Hist Poland & Baltic Area","425","001","43","3.250","9.3","18.6","9.3","2.3",".",".","2.3","55.8",".",".",".",".","2.3",".",".","."
"US Military History Since 1899","428","001","46","3.128","10.9","28.3","34.8","13.0","6.5",".",".","6.5",".",".",".",".",".",".",".","."
"History-Scand Since 1815","432","001","10","3.875","70.0",".","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","11","3.800","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Eur Soc Hist 1914-Present","475","001","14","3.556","21.4","28.6","14.3",".",".",".",".","21.4",".",".",".",".","7.1","7.1",".","."
"","500","001","9","2.857","11.1","33.3","11.1","11.1",".",".","11.1","11.1",".",".",".",".","11.1",".",".","."
"","500","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","500","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","500","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","21","3.382","33.3","28.6","9.5","4.8",".",".","4.8","9.5",".",".",".",".","9.5",".",".","."
"","505","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","505","002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"History at Work","","Course Total","11","3.895","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"History Internship Seminar","506","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Pluralism","510","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","15","3.533","40.0","40.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","600","003","15","3.929","80.0","13.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","600","004","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","13","3.708","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","600","008","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","010","15","3.567","46.7","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","013","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","600","014","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
