"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","110
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
002","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Grammar for Academic Use","Course Total","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
007","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","81","",".",".",".",".",".",".",".",".",".","98.8","1.2",".",".",".",".","."
"","117
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
005","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","117
006","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
009","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
010","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
012","15","",".",".",".",".",".",".",".",".",".","93.3",".",".",".",".",".","."
"","117
013","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
014","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"","117
015","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
017","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
018","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"Academic Writing I","Course Total","239","",".",".",".",".",".",".",".",".",".","97.9","1.7",".",".",".",".","."
"","001
118","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
118","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
004","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
118","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
118","15","3.600","53.3","26.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","118
007","14","3.607","50.0","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
008","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
009","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
010","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
011","13","3.731","61.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
012","11","3.091","27.3","36.4","9.1","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"","118
013","14","3.750","64.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","014
118","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
118","15","3.467","33.3","40.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
016","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
