"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"EGR","College Total","14449","3.420","40.7","20.4","16.5","6.3","3.9","0.9","0.3","5.0","0.0","3.8",".","1.6","0.4","0.0","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"EGR","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","231","3.240","33.3","12.1","8.2","8.2","3.5","3.0","0.9",".",".","30.3",".",".","0.4",".",".","."
"Sophomore","","1466","3.313","36.8","13.0","11.2","8.8","3.3","1.1","0.3",".",".","25.2",".",".","0.1","0.1",".","."
"Junior","","2880","3.276","39.3","21.3","20.3","9.1","4.7","1.7","0.5",".",".","2.8",".",".","0.2","0.1",".","."
"Senior","","7207","3.411","43.2","24.6","19.5","6.2","4.8","0.8","0.3","0.1",".",".",".",".","0.4","0.0",".","."
"Undergraduates","","11784","3.369","41.2","22.1","18.5","7.3","4.5","1.1","0.4","0.1",".","4.4",".",".","0.3","0.0",".","."
"Special","","182","3.469","53.8","15.4","13.7","7.1","3.8","1.1","1.6","1.1",".",".","0.5",".","0.5","0.5","0.5","."
"Graduate","","2838","3.731","43.7","11.1","6.2","1.1","0.7","0.1","0.0","25.2","0.1","2.5","0.0","8.2","0.7","0.0","0.3","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","5","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","College Total","14809","3.420","41.9","19.9","16.1","6.1","3.8","0.9","0.3","4.9","0.0","4.0","0.0","1.6","0.4","0.0","0.1","."
