"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","368
002","71","",".",".",".",".",".",".",".",".",".","88.7","11.3",".",".",".",".","."
"Learn a Programming Language","Course Total","132","",".",".",".",".",".",".",".",".",".","93.2","6.8",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","112","3.297","19.6","33.0","36.6","8.0","0.9","0.9",".","0.9",".",".",".",".",".",".",".","."
"","400
002","118","3.504","40.7","28.0","22.0","7.6","0.8",".",".","0.8",".",".",".",".",".",".",".","."
"Programming III","Course Total","230","3.404","30.4","30.4","29.1","7.8","0.9","0.4",".","0.9",".",".",".",".",".",".",".","."
"Introducing Comp Sci to K-12","402
001","44","3.932","97.7",".",".",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"","435
002","46","3.222","39.1","15.2","19.6","6.5","13.0","4.3",".",".",".",".",".",".",".",".",".","2.2"
"","003
435","47","3.468","59.6","4.3","21.3","4.3","8.5","2.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","Course Total","93","3.348","49.5","9.7","20.4","5.4","10.8","3.2",".",".",".",".",".",".",".",".",".","1.1"
"Intro-Computational Statistics","471
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
001","19","2.842","26.3","5.3","31.6","5.3","26.3",".","5.3",".",".",".",".",".",".",".",".","."
"","475
002","16","2.406","12.5","12.5","18.8","31.3",".","12.5","12.5",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","35","2.643","20.0","8.6","25.7","17.1","14.3","5.7","8.6",".",".",".",".",".",".",".",".","."
"Software Engineering","506
001","80","2.975","13.8","20.0","30.0","22.5","10.0","2.5",".","1.3",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","41","3.207","31.7","19.5","19.5","17.1","12.2",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524
001","108","3.491","38.0","34.3","17.6","4.6","2.8","0.9",".","1.9",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","19","3.167","26.3","21.1","21.1","10.5","15.8",".",".",".",".",".",".",".","5.3",".",".","."
"Intro-Progm Langs&Compilers","536
001","116","3.039","14.7","30.2","24.1","17.2","9.5","2.6","0.9",".",".",".",".",".","0.9",".",".","."
"Intro to Operating Systems","537
001","314","3.383","29.6","35.4","22.6","8.9","1.9",".","1.0","0.3",".",".",".",".","0.3",".",".","."
"","540
001","171","2.942","20.5","19.9","19.9","19.9","15.2","2.9","1.8",".",".",".",".",".",".",".",".","."
"","540
002","226","3.044","30.1","14.2","22.6","14.2","13.7","4.0","1.3",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","Course Total","397","3.000","25.9","16.6","21.4","16.6","14.4","3.5","1.5",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","001
552","16","3.500","37.5","50.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558
001","9","3.389","55.6","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Computer Graphics","559
001","125","3.288","32.8","24.0","20.0","12.0","4.0","2.4","0.8","0.8",".",".",".",".","2.4",".",".","0.8"
"Database Mgt Systems","564
002","126","3.190","29.4","21.4","23.0","18.3","4.8","2.4","0.8",".",".",".",".",".",".",".",".","."
"Medical Image Analysis","567
001","8","3.125","25.0","50.0",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","570
001","168","3.616","59.5","17.9","14.3","5.4","2.4",".","0.6",".",".",".",".",".",".",".",".","."
"","570
002","55","3.900","94.5","1.8","1.8",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"Intro to Humn-Comp Interaction","Course Total","223","3.686","68.2","13.9","11.2","4.0","1.8",".","0.9",".",".",".",".",".",".",".",".","."
"","577
001","244","2.996","16.4","9.4","50.0","11.1","11.1","1.2","0.8",".",".",".",".",".",".",".",".","."
"","577
002","133","2.996","15.0","15.0","39.1","17.3","12.8","0.8",".",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","377","2.996","15.9","11.4","46.2","13.3","11.7","1.1","0.5",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","638
001","10","3.550","60.0",".","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"UG Elective Topic in Computing","639
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","96","3.484","50.0","16.7","21.9",".","10.4",".",".","1.0",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
