"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"CRB","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","20","3.910","85.0","15.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","52","3.984","98.1","1.9",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","73","3.964","94.5","5.5",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","5","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","140","3.605","47.1","32.1","10.7","5.0","1.4","",".","",".","1.4","",".",".","",".","",".","2.1",".",".","."
"Prof Yr 1","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
