"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","640
002","8","2.429",".","12.5","25.0","12.5","25.0","12.5",".",".",".",".",".",".","12.5",".",".","."
"Strategic Retailing","Course Total","22","2.895","13.6","13.6","22.7","22.7","9.1","4.5",".","4.5",".",".",".",".","9.1",".",".","."
"Strategic Global Sourcing","724
001","34","3.574","44.1","29.4","23.5","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727
001","25","3.720","52.0","40.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creating New Products","737
001","40","3.744","55.0","35.0","7.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"","765
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","46","3.902","93.5","2.2",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","765
004","30","3.862","76.7","13.3","6.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","005
765","11","3.500","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","765
006","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
008","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","30","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","35","3.743","51.4","45.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","234","3.881","82.5","13.7","2.1",".","1.3",".",".","0.4",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","799
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Analytics","815
001","39","3.526","25.6","51.3","20.5",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Seminar-Marketing PhD","972
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
160","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"","999
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
107","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","4","***","","","","","","","","","","","","","","","",""
