"","999
080","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
082","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
097","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","34","3.958","61.8","5.9",".",".",".",".",".","17.6","",".",".","",".",".","2.9",".","11.8","."
"HISTORY
448","Dept. Total","2373","3.509","40.8","23.3","13.2","4.8","2.7","0.5","0.7","10.2","",".",".","",".","0.3","1.1","1.8","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","192","3.436","37.5","32.8","16.1","8.3","4.2",".","1.0",".","",".",".","",".",".",".",".",".","."
"Sophomore","","472","3.535","44.9","30.3","14.2","5.7","2.5","0.6","0.4","0.2","",".",".","",".",".","0.6",".","0.2","0.2"
"Junior","","569","3.442","40.2","27.4","19.3","6.2","3.7","0.7","0.7","0.7","",".",".","",".",".","0.9","0.2",".","."
"Senior","","728","3.516","49.3","24.7","14.1","4.9","3.2","0.7","1.1","0.4","",".",".","",".","0.3","1.2",".",".","."
"Undergraduates","","1961","3.491","44.5","27.6","15.9","5.8","3.3","0.6","0.8","0.4","",".",".","",".","0.1","0.9","0.1","0.1","0.1"
"Special","","226","3.600","5.8","2.2","0.9",".",".","0.4",".","70.8","",".",".","",".",".",".","18.6","0.9","0.4"
"Graduate","","186","3.960","45.2","3.8",".",".",".",".",".","40.3","",".",".","",".","3.2","5.4",".","2.2","."
"","Dept. Total","2373","3.509","40.8","23.3","13.2","4.8","2.7","0.5","0.7","10.2","",".",".","",".","0.3","1.1","1.8","0.3","0.1"
