"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Exploring Psychology","100
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","265","2.760","19.6","20.4","17.7","14.0","14.3","9.4","4.5",".",".",".",".",".",".",".",".","."
"","202
002","287","3.295","43.2","20.6","16.7","7.0","5.9","4.2","2.1","0.3",".",".",".",".",".",".",".","."
"","202
003","164","2.960","23.8","19.5","22.0","14.0","11.6","6.7","1.8","0.6",".",".",".",".",".",".",".","."
"","004
202","171","2.891","22.2","19.9","22.2","15.8","6.4","9.9","2.9",".","0.6",".",".",".",".",".",".","."
"","202
005","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","202
006","25","3.900","88.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
007","25","3.180","28.0","36.0","16.0","8.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","951","3.047","30.7","20.1","18.5","11.6","9.0","6.9","2.8","0.2","0.1",".",".",".",".",".",".","."
"","210
001","57","2.746","22.8","7.0","29.8","12.3","15.8","7.0","5.3",".",".",".",".",".",".",".",".","."
"","210
002","59","2.805","23.7","8.5","27.1","16.9","11.9","8.5","3.4",".",".",".",".",".",".",".",".","."
"","003
210","62","2.713","14.5","8.1","32.3","9.7","27.4","4.8","1.6",".",".",".",".",".","1.6",".",".","."
"","210
004","56","2.673","12.5","8.9","26.8","16.1","30.4",".","3.6",".",".",".",".",".","1.8",".",".","."
"","210
005","59","2.780","22.0","10.2","25.4","13.6","20.3","3.4","5.1",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","293","2.744","19.1","8.5","28.3","13.7","21.2","4.8","3.8",".",".",".",".",".","0.7",".",".","."
"","225
001","104","3.091","17.3","23.1","33.7","14.4","10.6","1.0",".",".",".",".",".",".",".",".",".","."
"","002
225","78","3.327","19.2","38.5","33.3","6.4","2.6",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","182","3.192","18.1","29.7","33.5","11.0","7.1","0.5",".",".",".",".",".",".",".",".",".","."
"Topics-Psych: Study Abroad","310
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
001","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","66","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Psychology","399
033","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","405
001","184","3.074","6.0","49.5","18.5","14.1","7.1","3.8","0.5",".",".",".",".",".",".",".","0.5","."
"","406
001","83","2.652","15.7","19.3","13.3","15.7","21.7","9.6","3.6",".",".",".",".",".","1.2",".",".","."
"","406
002","12","3.208","25.0","33.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","Course Total","95","2.743","16.8","21.1","13.7","14.7","21.1","8.4","3.2",".",".",".",".",".","1.1",".",".","."
"","428
001","167","2.883","29.9","17.4","15.0","13.2","10.2","9.6","4.8",".",".",".",".",".",".",".",".","."
"","428
002","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Cultural Psychology","Course Total","180","2.956","31.1","18.9","15.0","12.2","9.4","8.9","4.4",".",".",".",".",".",".",".",".","."
"Primates and Us","001
450","232","3.321","34.9","22.0","26.3","12.1","2.6","1.3","0.9",".",".",".",".",".",".",".",".","."
"Human Sexuality","453
001","256","3.307","34.0","23.0","24.2","9.0","7.4","1.6",".","0.4",".",".",".",".","0.4",".",".","."
"","454
001","442","3.231","31.0","26.9","20.1","10.9","6.3","3.2","1.1",".","0.2",".",".",".","0.2",".",".","."
"","002
454","24","3.630","45.8","37.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","4.2"
"Behavioral Neuroscience","Course Total","466","3.257","31.8","27.5","19.5","10.3","6.2","3.0","1.1",".","0.2",".",".",".","0.2",".",".","0.2"
"Intro-Social Psychology","456
001","66","3.285","33.3","16.7","36.4","6.1","3.0","1.5","1.5",".",".",".",".",".","1.5",".",".","."
"","460
001","175","3.134","28.6","18.9","26.9","11.4","9.7","4.6",".",".",".",".",".",".",".",".",".","."
"","460
002","18","3.806","77.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","97","3.180","24.7","27.8","19.6","18.6","7.2","2.1",".",".",".",".",".",".",".",".",".","."
"Child Development","Course Total","290","3.204","30.3","21.0","23.8","13.1","8.3","3.4",".",".",".",".",".",".",".",".",".","."
"Cognitive Development","502
001","104","3.481","50.0","14.4","22.1","8.7","4.8",".",".",".",".",".",".",".",".",".",".","."
"Depth Topic in Bio Science","505
001","56","3.196","35.7","5.4","41.1","5.4","8.9","3.6",".",".",".",".",".",".",".",".",".","."
"Hormones, Brain, and Behavior","513
001","70","3.393","35.7","31.4","21.4","1.4","8.6","1.4",".",".",".",".",".",".",".",".",".","."
