"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","152","3.166","31.6","12.5","27.0","17.8","8.6","2.0",".","0.7",".",".",".",".",".",".",".","."
"132","002","","175","2.889","18.9","12.6","21.7","30.3","13.1","2.3","1.1",".",".",".",".",".",".",".",".","."
"132","003","","164","2.972","18.3","21.3","19.5","23.2","14.0","3.0",".",".",".",".",".",".",".","0.6",".","."
"Nutrition Today","Course Total","","491","3.002","22.6","15.5","22.6","24.0","12.0","2.4","0.4","0.2",".",".",".",".",".","0.2",".","."
"200
Prof-Dietetics & Nutrition","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","131","2.908","31.3","1.5","29.8","9.2","21.4","5.3","1.5",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","88","3.341","36.4","27.3","20.5","9.1","3.4","2.3","1.1",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"421","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"421","003","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
Nutrition in the Life Span","001","","64","3.141","23.4","21.9","35.9","9.4","4.7","3.1","1.6",".",".",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","48","3.802","83.3","2.1","10.4",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","22","3.114","27.3","4.5","45.5","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","43","3.558","34.9","41.9","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Nutrition, Fitness and Health","001","","8","3.250","25.0","12.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"540
Commun Nutr Prgms & Policy Iss","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","001","","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"653
Clinical Nutrition Research","001","","28","3.714","53.6","35.7","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Nutr & Dietetics Practicum II","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Micronutr-Human Phys & Disease","001","","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Nutrition Informatics","001","","22","3.636","50.0","36.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"725
Advanced Community Nutrition","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","","Page 36 of 426"
