"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","375
006","","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","","98","3.836","82.7","10.2","3.1","3.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","399
015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching World Lang (K-8)","442
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","463
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sem. in Pre-K Through MS Teach","Course Total","","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
001","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"EC/ESL Student Teaching","468
001","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literacy Assessmnt&Interventn","504
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","64","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Probs-Teaching World Lang","564
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","","14","3.955","71.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","21.4","."
"Adv Prac-Tch Engl Secn Schl","596
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","626
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","626
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","626
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","626
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Action Research in Schools","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","630
008","","23","4.000","87.0",".",".",".",".",".",".",".",".",".",".",".","13.0",".",".","."
"","630
009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","","Page 86 of 426"
