"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PORTUG","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","13","3.216","38.5","7.7","30.8","7.7","15.4","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","6","3.773","66.7","16.7","16.7",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","19","3.443","52.6","5.3","21.1","15.8","5.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","40","3.359","47.5","7.5","25.0","10.0","10.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","15","3.857","53.3","20.0",".",".",".","",".","",".","26.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
