"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"682","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","129","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","133","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","136","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Construction of Compilers","001","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"704
Princ of Programming Langs","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Methods of Computatnl Math II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"723
Dynamic Prog & Assoc Topics","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","26","3.523","38.5","23.1","11.5","11.5",".",".",".",".",".",".",".",".",".",".","15.4","."
"728
Integer Optimization","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"736
Advanced Operating Systems","001","","30","3.683","50.0","36.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Advanced Computer Networks","001","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"757
Adv Computr Architecture II","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760
Machine Learning","001","","121","3.550","44.6","32.2","18.2","2.5",".",".","1.7",".",".",".",".",".",".",".","0.8","."
"766
Computer Vision","001","","82","3.866","75.6","22.0","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"776
Advanced Bioinformatics","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
Advanced Algorithms","001","","27","3.741","63.0","22.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 206 of 426",""
