"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","331","3.179","22.1","29.0","22.1","17.5","8.2","0.9",".",".",".",".",".",".","0.3",".",".","."
"","002
101","281","3.009","21.4","20.6","19.9","18.9","17.1","2.1",".",".",".",".",".",".",".",".",".","."
"","101
003","211","3.091","18.0","23.7","32.7","17.1","4.3","1.9","1.4",".",".",".",".",".",".","0.9",".","."
"","004
101","201","2.940","20.9","18.9","22.9","18.9","10.4","6.0","1.5",".",".",".",".",".",".","0.5",".","."
"Principles-Microeconomics","Course Total","1024","3.067","20.8","23.6","23.8","18.1","10.3","2.4","0.6",".",".",".",".",".","0.1","0.3",".","."
"","102
001","303","2.852","12.9","15.5","23.8","27.4","18.8","1.7",".",".",".",".",".",".",".",".",".","."
"","102
002","291","2.972","20.3","20.3","20.6","18.2","17.5","1.7","1.0","0.3",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","594","2.911","16.5","17.8","22.2","22.9","18.2","1.7","0.5","0.2",".",".",".",".",".",".",".","."
"Internship Economics","228
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","18","2.750","5.6","5.6","50.0","11.1","27.8",".",".",".",".",".",".",".",".",".",".","."
"","300
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","19","2.763","5.3","5.3","52.6","10.5","26.3",".",".",".",".",".",".",".",".",".",".","."
"","301
001","152","3.128","22.4","30.9","19.7","14.5","7.9","3.9","0.7",".",".",".",".",".",".",".",".","."
"","301
002","139","2.982","25.9","14.4","23.0","16.5","15.1","3.6","1.4",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","291","3.058","24.1","23.0","21.3","15.5","11.3","3.8","1.0",".",".",".",".",".",".",".",".","."
"","302
001","232","3.191","18.5","35.8","22.8","10.8","10.3","0.9",".",".",".",".",".",".","0.9",".",".","."
"","302
002","119","3.244","18.5","41.2","21.0","12.6","5.0","1.7",".",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","351","3.209","18.5","37.6","22.2","11.4","8.5","1.1",".",".",".",".",".",".","0.6",".",".","."
"","001
306","44","2.852","22.7","13.6","18.2","15.9","22.7","6.8",".",".",".",".",".",".",".",".",".","."
"","306
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","46","2.891","23.9","15.2","17.4","15.2","21.7","6.5",".",".",".",".",".",".",".",".",".","."
"","310
001","154","2.925","18.2","20.8","17.5","22.7","18.2","1.3","1.3",".",".",".",".",".",".",".",".","."
"","002
310","97","3.026","20.6","18.6","29.9","9.3","20.6","1.0",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","251","2.964","19.1","19.9","22.3","17.5","19.1","1.2","0.8",".",".",".",".",".",".",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","22","3.750","72.7","4.5","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","6","2.750","16.7",".","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","156","2.918","15.4","17.3","24.4","24.4","12.2","3.8",".","1.9",".",".",".",".","0.6",".",".","."
"","390
001","31","3.550","51.6","19.4","16.1","3.2","6.5",".",".",".",".",".",".",".",".","3.2",".","."
"","002
390","38","3.211","23.7","23.7","28.9","18.4","5.3",".",".",".",".",".",".",".",".",".",".","."
"","390
004","89","3.341","36.0","18.0","27.0","13.5","4.5",".",".","1.1",".",".",".",".",".",".",".","."
"","390
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390
014","32","3.453","56.3","9.4","25.0",".","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","Course Total","197","3.390","41.6","17.3","24.4","10.2","5.1",".","0.5","0.5",".",".",".",".",".","0.5",".","."
"Introductory Econometrics","410
001","167","3.184","24.6","24.0","31.1","10.2","7.8",".","1.8","0.6",".",".",".",".",".",".",".","."
"","420
001","19","2.605","15.8","10.5","15.8","26.3","15.8","15.8",".",".",".",".",".",".",".",".",".","."
"","002
420","21","2.833","14.3","14.3","33.3","19.0","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"","003
420","16","2.625","18.8","6.3","6.3","31.3","31.3","6.3",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","56","2.696","16.1","10.7","19.6","25.0","19.6","7.1","1.8",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441
001","91","3.616","49.5","31.9","13.2","3.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomic Policy","442
001","46","3.239","32.6","17.4","30.4","13.0","4.3",".","2.2",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 213 of 426",""
