"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing:Med&Society","152
001","6","4.000","100.0",".",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Issues in Ag, Envir & Life Sci","155
001","25","3.960","92.0","8.0",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"WISE Seminar","175
001","35","4.000","100.0",".",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Intro to Undergrad Research","288
001","14","3.964","92.9","7.1",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"World Hunger & Malnutrition","350
001","28","3.481","39.3","25.0","21.4","10.7","",".","",".","",".","3.6",".","",".",".","",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","108","3.730","81.5","9.3","5.6","2.8","",".","",".","",".","0.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","3.733","76.9","15.4","7.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","55","3.943","96.4","1.8","1.8",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","23","3.514","73.9","8.7","8.7","8.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","16","3.633","50.0","25.0","12.5","6.3","",".","",".","",".","6.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","107","3.734","82.2","8.4","5.6","2.8","",".","",".","",".","0.9","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","108","3.730","81.5","9.3","5.6","2.8","",".","",".","",".","0.9","",".",".","",".","",".","",".",".",".","."
