"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","108","3.968","96.3","2.8",".",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","300
002","92","3.924","90.2","8.7",".",".",".","1.1",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","200","3.948","93.5","5.5",".",".","0.5","0.5",".",".",".",".",".",".",".",".",".","."
"Positive Psych and Well Being","310
001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AAC and Assistive Tech","401
001","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Functional Skills","402
001","45","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science & Soc Studies","404
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching Sem - Dual Major","457
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Inst for Stdt with Dis","465
001","38","3.961","94.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary Student Teaching Smr","468
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods in Transtn & Voc Educ","472
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Practicum: MC - EA","475
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sp Ed Student Teaching: MC-EA","477
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sp Ed Student Teaching: EA-A","478
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","17","3.844","64.7","29.4",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","501
002","18","3.583","44.4","38.9","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","35","3.706","54.3","34.3","5.7",".","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"","630
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
020","35","3.944","94.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
191","10","3.875","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
192","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
194","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
195","11","3.950","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","78","3.950","94.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
031","80","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
057","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
058","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","660
061","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","660
073","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","145","3.962","92.4","7.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","5","***","","","","","","","","","","","","","","","",""
"Multiculturl Issues-Special Ed","710
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Addictions Counseling","721
001","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 79 of 426"
