"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","17","3.875","82.4",".","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Engineerng Economc Analysis","313","001","","99","3.333","32.3","26.3","25.3","12.1","3.0",".","1.0",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","69","3.935","88.4","10.1","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","57","3.412","45.6","17.5","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","23","3.522","52.2","17.4","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","20","3.425","45.0","15.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","15","3.233","33.3","26.7","13.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","58","3.414","44.8","19.0","20.7","5.2","10.3",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","51","2.951","25.5","3.9","35.3","9.8","23.5","2.0",".",".",".",".",".",".",".",".",".","."
"","348","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","003","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","","53","3.962","92.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","97","3.474","27.8","45.4","21.6","4.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","","63","3.873","77.8","19.0","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","001","","55","3.836","81.8","10.9","1.8","3.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"","412","002","","31","3.710","71.0","6.5","16.1","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","","Course Total","","86","3.791","77.9","9.3","7.0","4.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","57","3.526","35.1","43.9","14.0","5.3","1.8",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","","57","3.702","59.6","29.8","5.3","1.8","3.5",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","450","001","","70","3.836","67.1","32.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","56","3.518","46.4","25.0","19.6","3.6","5.4",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","45","3.956","93.3","4.4","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","36","3.542","47.2","19.4","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Decision Making in Health Care","517","001","","20","3.868","80.0","10.0",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","","19","3.605","57.9","10.5","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","11","2.727","27.3",".","45.5",".","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","","38","3.724","68.4","13.2","15.8",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Patient Safety&Error Reduction","559","001","","23","3.587","43.5","30.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Risk Anal Nuc Pwr Plnt","574","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","68","3.824","77.9","14.7","2.9","2.9","1.5",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","601","004","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Sensing&Anal-Manufacturng","612","001","","21","3.762","71.4","19.0",".","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Production Systems Control","615","001","","26","3.731","61.5","26.9","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620","001","","21","3.571","38.1","38.1","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
