"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","222","3.110","23.0","23.0","25.2","14.4","13.1","0.9","0.5",".",".",".",".",".",".",".",".","."
"","103
002","202","3.118","23.3","25.2","21.8","12.9","13.9","2.0",".",".",".",".",".",".","1.0",".",".","."
"General Physics","Course Total","424","3.114","23.1","24.1","23.6","13.7","13.4","1.4","0.2",".",".",".",".",".","0.5",".",".","."
"","001
104","301","3.085","19.6","23.3","25.2","18.9","12.0","0.7",".",".",".",".",".",".",".","0.3",".","."
"","002
104","297","3.077","19.5","23.6","23.2","20.9","12.5","0.3",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","598","3.081","19.6","23.4","24.2","19.9","12.2","0.5",".",".",".",".",".",".",".","0.2",".","."
"","109
001","144","3.542","42.4","32.6","18.1","4.2","1.4","0.7",".",".",".",".",".",".",".","0.7",".","."
"","109
002","80","3.700","57.5","28.8","10.0","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","224","3.599","47.8","31.3","15.2","4.0","0.9","0.4",".",".",".",".",".",".",".","0.4",".","."
"Energy","001
115","64","3.258","34.4","23.4","20.3","9.4","10.9",".","1.6",".",".",".",".",".",".",".",".","."
"Directed Study","198
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"General Physics","201
001","269","2.825","16.0","16.0","21.9","19.0","22.7","4.1","0.4",".",".",".",".",".",".",".",".","."
"","202
001","103","2.917","23.3","17.5","10.7","24.3","20.4","3.9",".",".",".",".",".",".",".",".",".","."
"","202
002","294","2.945","20.7","18.7","18.0","21.4","16.7","4.1",".",".",".",".",".",".","0.3",".",".","."
"General Physics","Course Total","397","2.938","21.4","18.4","16.1","22.2","17.6","4.0",".",".",".",".",".",".","0.3",".",".","."
"Mod Physics for Engineers","205
001","43","3.605","44.2","37.2","14.0","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","142","3.021","19.0","23.2","22.5","19.0","10.6","4.2",".",".",".",".",".",".","1.4",".",".","."
"General Physics","208
001","276","2.777","13.8","8.0","31.9","19.9","22.8","3.6",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","33","3.016","18.2","18.2","24.2","21.2","15.2",".",".","3.0",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","49","3.198","26.5","24.5","20.4","14.3","12.2",".",".",".",".",".",".",".",".","2.0",".","."
"Intro-Medical Physics","265
001","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","298
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301
001","43","3.950","83.7","9.3",".",".",".",".",".",".",".",".",".",".",".","7.0",".","."
"","308
001","29","3.741","58.6","31.0","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
003","31","3.919","83.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","60","3.833","71.7","23.3","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","001
311","58","2.902","27.6","12.1","25.9","10.3","8.6","6.9","5.2",".",".",".",".",".",".",".",".","3.4"
"Electromagnetic Fields","322
001","55","3.074","40.0","7.3","18.2",".","29.1","3.6",".","1.8",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325
001","22","3.429","31.8","36.4","9.1","18.2",".",".",".",".",".",".",".",".","4.5",".",".","."
"Special Topics in Physics","406
001","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","407
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","407
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
407","12","3.583","25.0","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","25","3.707","40.0","56.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","44","2.762","20.5","25.0","11.4","11.4","13.6","4.5","9.1",".",".",".",".",".","4.5",".",".","."
"Atomic and Quantum Physics","449
001","45","3.386","37.8","31.1","13.3","8.9","2.2","4.4",".",".",".",".",".",".","2.2",".",".","."
"","499
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
