"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Prof Exp Bus-Extended Intrnshp","451
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Managerial Communication","700
030","45","3.856","71.1","28.9",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Managing Legal Risks","701
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Prof Experience in Business","750
001","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","765
001","52","3.692","51.9","40.4","3.8","1.9","1.9",".",".",".",".","",".",".","",".","",".",".",".","."
"","002
765","52","3.510","25.0","55.8","17.3",".","1.9",".",".",".",".","",".",".","",".","",".",".",".","."
"","765
003","104","3.731","57.7","30.8","11.5",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","765
030","21","4.000","85.7",".",".",".",".",".",".","14.3",".","",".",".","",".","",".",".",".","."
"","030
765","45","3.444","15.6","60.0","22.2","2.2",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","765
030","56","3.679","44.6","46.4","8.9",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","Section Total","122","3.664","41.0","43.4","12.3","0.8",".",".",".","2.5","",".",".","",".","",".",".",".",".","."
"","765
031","35","3.946","91.4","5.7","2.9",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","765
031","40","3.524","25.0","55.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","Section Total","75","3.724","56.0","32.0","12.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Contemporary Topics","Course Total","405","3.680","47.4","39.3","11.6","0.5","0.5",".",".","0.7","",".",".","",".","",".",".",".",".","."
"Panel Data Analysis","806
001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"GEN BUS
231","Dept. Total","2775","3.314","31.9","31.1","22.2","9.0","3.7","0.7","0.5","0.6","",".","0.3","",".","",".","0.0",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","385","3.244","29.4","26.8","25.2","11.2","6.5","0.5","0.3",".","",".",".","",".","",".","0.3",".",".","."
"Junior","","1080","3.326","32.7","34.1","18.5","8.9","3.9","0.9","0.7","0.1","",".","0.2","",".","",".",".",".",".","."
"Senior","","814","3.208","21.6","25.9","31.8","13.0","4.1","0.9","0.5","1.6","",".","0.6","",".","",".",".",".",".","."
"Undergraduates","","2279","3.269","28.2","29.9","24.4","10.8","4.4","0.8","0.6","0.6","",".","0.3","",".","",".","0.0",".",".","."
"Special","","14","3.292","35.7","28.6","7.1","7.1",".",".","7.1","7.1","",".",".","",".","",".",".",".","7.1","."
"Graduate","","482","3.681","49.4","36.5","12.0","0.6","0.4",".",".","0.6","",".","0.2","",".","",".",".",".","0.2","."
"","Dept. Total","2775","3.314","31.9","31.1","22.2","9.0","3.7","0.7","0.5","0.6","",".","0.3","",".","",".","0.0",".","0.1","."
