"GENETICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Genetics in the News","133","001","103","3.529","57.3","7.8","26.2","1.0","7.8",".",".",".",".",".",".",".",".",".",".","."
"","299","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","120","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","127","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Genetics","466","001","278","2.957","34.5","6.8","26.6","6.1","15.1","8.3","2.5",".",".",".",".",".",".",".",".","."
"General Genetics 2","468","001","74","2.845","25.7","9.5","25.7","10.8","20.3","4.1","4.1",".",".",".",".",".",".",".",".","."
"Advanced Laboratory Procedures","471","001","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution Seminar Series UG","522","001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","545","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","545","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp & Funct Genomics","548","001","19","3.105","21.1","21.1","31.6","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"Molec Approach-Crop Improvt","550","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Cytogenetics","562","001","20","3.325","20.0","40.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Genomics & Proteomics","564","001","18","3.694","61.1","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Genetics","566","001","46","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Central Nervous System","568","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Breast","569","001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Gastrointestinal System","574","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Miscellaneous Systems","575","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Effusions","576","001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","577","001","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eukaryotic Molecular Biology","620","001","20","3.079","10.0","30.0","25.0","25.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Genomic Science","626","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Clinical Cytogenetics","670","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lab Operatns & Qual Contrl","672","001","8","2.500",".",".","25.0","25.0","25.0",".",".",".",".",".",".",".","25.0",".",".","."
"Seminar in Clinical Cytology","673","001","8","3.667","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".","25.0",".",".","."
"Advanced Topics in Genetics","677","019","27","3.685","55.6","25.9","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","127","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","","Page 28 of 426"
