"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"","699
031","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
041","","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","812
042","","16","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
043","","20","3.475","25.0","45.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
044","","11","3.400","27.3","18.2","45.5",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"3rd Year Obs & Gynecology","Course Total","","55","3.491","34.5","29.1","32.7","1.8",".",".",".",".",".",".",".",".","1.8",".",".","."
"Individualized 4th Yr Clerk","919
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","925
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Endocrinlgy-Reprodctve Phys","954
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Responsible Conduct","956
001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
